호선,설치역,지상_지하,층,상세위치,충전설비수,동시충전,이용요금,역 주소,역 전화번호
1,설화명곡,지하,1,E/L 3호기 옆 ,1,2,무료,대구광역시 달성군 화원읍 비슬로 2476,053-634-2674
1,화원,지하,1,E/L 3호기 옆,1,1,무료,대구광역시 달성군 화원읍 비슬로 지하2600,053-634-5125
1,대곡,지하,2,화장실 앞,1,2,무료,대구광역시 달서구 비슬로 지하2718 (대곡동),053-644-7723
1,진천,지하,1,대합실,1,2,무료,대구광역시 달서구 월배로 지하76 (진천동),053-642-7723
1,월배,지하,1,E/L 1호기 옆,1,1,무료,대구광역시 달서구 월배로 지하143 (진천동),053-642-7732
1,상인,지하,1,화장실 입구,1,2,무료,대구광역시 달서구 월배로 지하223 (상인동),053-642-7745
1,월촌,지하,1,대합실,1,1,무료,대구광역시 달서구 월배로 지하311 (송현동),053-626-7710
1,송현,지하,2,대합실,1,1,무료,대구광역시 달서구 월배로 지하412 (송현동),053-626-7730
1,서부정류장,지하,1,역무실 옆,1,2,무료,대구광역시 남구 월배로 지하501 (대명동),053-651-7736
1,대명,지하,1,대합실,1,1,무료,대구광역시 남구 대명로 지하71 (대명동),053-627-7746
1,안지랑,지하,1,E/L 4호기 옆,1,1,무료,대구광역시 남구 대명로 지하141 (대명동),053-626-7747
1,현충로,지하,1,대합실,1,1,무료,대구광역시 남구 대명로 지하222 (대명동),053-651-7756
1,영대병원,지하,1,대합실,1,1,무료,대구광역시 남구 대명로 지하292 (대명동),053-626-7760
1,교대,지하,2,2발매기 옆,1,2,무료,대구광역시 남구 중앙대로 지하194 (대명동),053-473-7702
1,명덕,지하,1,역무실 앞,1,2,무료,대구광역시 중구 명덕로 지하185 (남산동),053-255-7723
1,반월당,지하,2,대합실,1,1,무료,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-255-7735
1,중앙로,지하,2,화장실 앞,1,2,무료,대구광역시 중구 중앙대로 지하424 (남일동),053-256-7746
1,대구역,지하,2,역무실 앞,1,2,무료,대구광역시 북구 칠성남로30길 지하24 (칠성동),053-426-7797
1,칠성시장,지하,2,대합실,1,1,무료,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751
1,신천,지하,1,대합실,1,1,무료,대구광역시 동구 동부로 지하41 (신천동),053-756-7706
1,동대구역,지하,1,1번출구 앞,1,2,무료,대구광역시 동구 동대구로 지하530 (신천동),053-742-7787
1,동구청,지하,1,대합실,1,1,무료,대구광역시 동구 신암남로 지하169 (신암동),053-942-7721
1,아양교,지하,3,대합실,1,2,무료,대구광역시 동구 아양로 지하245 (신암동),053-942-7724
1,동촌,지하,3,대합실,1,2,무료,대구광역시 동구 해동로 지하197 (검사동),053-981-7731
1,해안,지하,2,계단 뒤,1,1,무료,대구광역시 동구 동촌로 지하167 (방촌동),053-981-7775
1,방촌,지하,1,대합실,1,2,무료,대구광역시 동구 동촌로 지하275 (방촌동),053-984-7716
1,용계,지하,1,대합실,1,1,무료,대구광역시 동구 동촌로 지하383 (용계동),053-985-7798
1,율하,지하,1,대합실,1,1,무료,대구광역시 동구 안심로 지하57 (율하동),053-962-7729
1,신기,지하,1,쉼터 옆,1,2,무료,대구광역시 동구 안심로 지하159 (신기동),053-962-7773
1,반야월,지하,1,대합실,1,1,무료,대구광역시 동구 안심로 지하261 (동호동),053-962-7798
1,각산,지하,1,대합실,1,1,무료,대구광역시 동구 안심로 지하363 (신서동),053-963-7754
1,안심,지하,1,역무실 앞,1,2,무료,대구광역시 동구 안심로 지하455 (괴전동),053-963-7769
2,문양,지상,3,미술협회사무실 옆 ,1,1,무료,대구광역시 달성군 다사읍 문양역길 71,053-584-6826
2,다사,지하,1,대합실,1,1,무료,대구광역시 달성군 다사읍 다사역로 지하30,053-588-6680
2,대실,지하,2,대합실,1,1,무료,대구광역시 달성군 다사읍 달구벌대로 지하888,053-587-1933
2,강창,지하,1,대합실 전시공간,1,2,무료,대구광역시 달서구 달구벌대로 지하1014 (호산동),053-585-0660
2,계명대,지하,2,영남대방면 E/V옆,1,2,무료,대구광역시 달서구 달구벌대로 지하1140 (신당동),053-588-0990
2,성서산업단지,지하,2,화장실 앞,1,2,무료,대구광역시 달서구 달구벌대로 지하1280 (이곡동),053-582-6215
2,이곡,지하,1,대합실,1,1,무료,대구광역시 달서구 달구벌대로 지하1357 (이곡동),053-582-6214
2,용산,지하,2,E/L 1호기 앞,1,2,무료,대구광역시 달서구 달구벌대로 지하1476 (용산동),053-553-3598
2,죽전,지하,2,E마트 편의점옆,1,2,무료,대구광역시 달서구 달구벌대로 지하1560 (죽전동),053-556-0292
2,감삼,지하,2,대합실 화장실 앞,1,2,무료,대구광역시 달서구 달구벌대로 지하1665 (감삼동),053-552-2856
2,두류,지하,2,대합실 화장실 앞,1,2,무료,대구광역시 달서구 달구벌대로 지하1760 (두류동),053-628-3663
2,내당,지하,1,대합실,1,1,무료,대구광역시 달서구 달구벌대로 지하1900 (두류동),053-656-6038
2,반고개,지하,1,대합실,1,1,무료,대구광역시 서구 달구벌대로 지하1827 (내당동),053-655-1196
2,청라언덕,지하,1,대합실,1,2,무료,대구광역시 중구 달구벌대로 지하2000 (동산동),053-256-7728
2,반월당,지하,3,각 역무실 맞은편,2,2,무료,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-252-0689
2,경대병원,지하,1,대합실,1,1,무료,대구광역시 중구 달구벌대로 지하2190 (삼덕동),053-427-0523
2,대구은행,지하,1,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하2300 (수성동),053-752-0206
2,범어,지하,3,전기실 출입구,1,1,무료,대구광역시 수성구 달구벌대로 지하2396 (범어동),053-756-9376
2,수성구청,지하,2,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하2500 (범어동),053-756-7822
2,만촌,지하,2,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하2584 (만촌동),053-751-0287
2,담티,지하,3,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하2672 (만촌동),053-752-0959
2,연호,지하,1,대합실 ,1,1,무료,대구광역시 수성구 달구벌대로 지하2870 (연호동),053-791-0922
2,대공원,지하,1,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하2950 (연호동),053-791-0881
2,고산,지하,1,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하3080 (시지동),053-791-0858
2,신매,지하,2,대합실,1,1,무료,대구광역시 수성구 달구벌대로 지하3180 (매호동),053-791-0898
2,사월,지하,1,대합실,1,1,무료,대구광역시 수성구달구벌대로 지하3290 (신매동),053-795-0767
2,정평,지하,1,대합실,1,2,무료,"대구광역시 경상북도 경산시 대학로 지하60(정평동, 정평역)",054-811-4753
2,임당,지하,1,대합실 쉼터 내,1,2,무료,"대구광역시 경상북도 경산시 대학로 지하170(중방동, 임당역)",054-811-0732
2,영남대,지하,1,대합실 쉼터 내,1,2,무료,"대구광역시 경상북도 경산시 대학로 지하270 (대동, 영남대역)",054-801-3785
3,칠곡경대병원,지상,2,대합실 ,1,1,무료,대구광역시 북구 팔거천동로 386(동호동),053-640-7381
3,학정,지상,2,대합실 ,1,1,무료,대구광역시 북구 팔거천동로 310(학정동),053-640-7381
3,팔거,지상,2,대합실 ,1,1,무료,대구광역시 북구 팔거천동로 226(동천동),053-640-7381
3,동천,지상,1,대합실 ,1,1,무료,대구광역시 북구 팔거천동로 147(동천동),053-640-7381
3,칠곡운암,지상,1,대합실 ,1,1,무료,대구광역시 북구 팔거천동로 79(구암동),053-640-7381
3,구암,지상,1,대합실 ,1,1,무료,대구광역시 북구 팔거천동로 1(구암동),053-640-7381
3,태전,지상,1,대합실 ,1,1,무료,대구광역시 북구 칠곡중앙대로 262(태전동),053-640-7431
3,매천,지상,1,대합실 ,1,1,무료,대구광역시 북구 학정로 6(매천동),053-640-7431
3,매천시장,지상,1,대합실 ,1,1,무료,대구광역시 북구 매천로 18길 39(매천동),053-640-7431
3,팔달,지상,1,대합실 ,1,1,무료,대구광역시 북구 매천로2길 43(팔달동),053-640-7431
3,공단,지상,2,대합실 ,1,1,무료,대구광역시 북구 팔달로 28(비산동),053-640-7431
3,만평,지상,2,대합실 ,1,2,무료,대구광역시 북구 팔달로 105(노원동3가),053-640-7431
3,팔달시장,지상,2,대합실 ,1,1,무료,대구광역시 북구 팔달로 163-1(노원동3가),053-640-7521
3,원대,지상,2,대합실 ,1,1,무료,대구광역시 서구 팔달로 224-2(원대동3가),053-640-7521
3,북구청,지상,2,대합실 ,1,1,무료,대구광역시 서구 원대로 71(원대동2가),053-640-7521
3,달성공원,지상,2,대합실 ,1,1,무료,대구광역시 중구 달성로 116(수창동),053-640-7521
3,서문시장,지상,2,대합실 ,1,1,무료,대구광역시 중구 달성로 50(대신동),053-640-7521
3,청라언덕,지상,2,대합실 ,1,2,무료,대구광역시 중구 남산로 80(남산동),053-640-7521
3,남산,지상,1,대합실 ,1,1,무료,대구광역시 중구 남산로 2(남산동),053-640-7581
3,명덕,지상,2,대합실 ,1,2,무료,대구광역시 남구 명덕로 186(대명동),053-640-7581
3,건들바위,지상,2,대합실 ,1,1,무료,대구광역시 남구 명덕로 260(이천동),053-640-7581
3,대봉교,지상,2,대합실 ,1,1,무료,대구광역시 남구 명덕로 330(이천동),053-640-7581
3,수성시장,지상,2,대합실 ,1,1,무료,대구광역시 수성구 명덕로 420(수성동2가),053-640-7581
3,수성구민운동장,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 248(범어동),053-640-7581
3,어린이회관,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 166(황금동),053-640-7611
3,황금,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 100(두산동),053-640-7611
3,수성못,지상,2,대합실 ,1,1,무료,대구광역시 수성구 동대구로 14(지산동),053-640-7611
3,지산,지상,1,대합실 ,1,1,무료,대구광역시 수성구 지범로 100(지산동),053-640-7611
3,범물,지상,2,대합실 ,1,1,무료,대구광역시 수성구 지범로 194(범물동),053-640-7611
3,용지,지상,2,대합실 ,1,1,무료,대구광역시 수성구 범안로 83(범물동),053-640-7611
