철도운영기관명,선명,역명,출구번호,출구별 주요시설명,주소
대구교통공사,1호선,대곡(정부대구청사),2,대구교도소,대구 달성군 화원읍 비슬로 2625
대구교통공사,1호선,대곡(정부대구청사),3,정부대구지방합동청사,대구 달서구 화암로 301 정부대구지방합동청사
대구교통공사,1호선,대곡(정부대구청사),4,월배차량기지사업소,대구 달서구 월배로 5길 39(유천동)
대구교통공사,1호선,대곡(정부대구청사),1,화원읍사무소,대구 달성군 화원읍 비슬로 2594
대구교통공사,1호선,진천,4,진천동 주민센터,대구 달서구 진천로9길 33
대구교통공사,1호선,진천,1,월배차량기지사업소,대구 달서구 월배로 5길 39(유천동)
대구교통공사,1호선,진천,2,진천우체국,대구 달서구 월배로 32
대구교통공사,1호선,진천,3,보강병원,대구 달서구 월배로 102
대구교통공사,1호선,월배,4,월배우체국,대구 달서구 상원로 97
대구교통공사,1호선,월배,3,상인2동 주민센터,대구 달서구 상원로 27
대구교통공사,1호선,월배,1,진천동 주민센터,대구 달서구 진천로9길 33
대구교통공사,1호선,월배,2,월배시장,대구 달서구 월배로24길 13
대구교통공사,1호선,상인,5,롯데백화점 상인점,대구 달서구 월배로 232
대구교통공사,1호선,상인,6,대구도시철도공사,대구 달서구 월배로 250
대구교통공사,1호선,상인,1,월서초등학교,대구 달서구 월배로39길 46
대구교통공사,1호선,상인,8,달서구청,대구 달서구 학산로 45
대구교통공사,1호선,상인,7,상원고등학교,대구 달서구 월배로 241
대구교통공사,1호선,상인,2,홈플러스 상인점,대구 달서구 월배로 183
대구교통공사,1호선,상인,3,성모병원,대구 달서구 월배로 204
대구교통공사,1호선,상인,4,상인초등학교,대구 달서구 월곡로 211
대구교통공사,1호선,월촌,4,상인동우체국,대구 달서구 송현로 47
대구교통공사,1호선,월촌,3,대구달서송현119안전센터,대구 달서구 월배로 262
대구교통공사,1호선,월촌,2,경북기계공업고등학교,대구 달서구 월배로 275
대구교통공사,1호선,월촌,1,본동종합사회복지관,대구 달서구 송현로 113
대구교통공사,1호선,월촌,5,대구청소년수련원,대구 달서구 앞산순환로 180
대구교통공사,1호선,월촌,6,청구제네스아파트,대구 달서구 송현동
대구교통공사,1호선,월촌,7,송현시장,대구 달서구 송현동
대구교통공사,1호선,월촌,8,송현초등학교,대구 달서구 송현로 128
대구교통공사,1호선,송현,3,해맞이아파트,대구 달서구 송현동
대구교통공사,1호선,송현,4,가야기독병원,대구 달서구 월배로 83길 14
대구교통공사,1호선,송현,2,송현1동주민센터,대구 달서구 중흥로 8길 41
대구교통공사,1호선,송현,1,송현여자중·고등학교,대구 달서구 송현로 156
대구교통공사,1호선,서부정류장(관문시장),2,달성축협,대구 달서구 월배로 97길 6
대구교통공사,1호선,서부정류장(관문시장),3,대명11동주민센터,대구 남구 관문시장4길 53
대구교통공사,1호선,서부정류장(관문시장),1,성당1동주민센터,대구 달서구 야외음악달로13길 60
대구교통공사,1호선,대명,1,달성교육청,대구 남구 대명복개로1길 38
대구교통공사,1호선,대명,3,국민건강보험공단대구남부지사,대구 남구 대명로86
대구교통공사,1호선,대명,2,대명6동주민센터,대구 남구 대명남로73
대구교통공사,1호선,안지랑,4,대명1동주민센터,대구 남구 장전2길 5
대구교통공사,1호선,안지랑,1,제성한방병원,대구 남구 대명로 131
대구교통공사,1호선,안지랑,2,KT남대구지사,대구 남구 대명동
대구교통공사,1호선,안지랑,3,안지랑시장,대구 남구 대명동
대구교통공사,1호선,현충로,4,남부경찰서,대구 남구 대명로 249
대구교통공사,1호선,현충로,1,남부시장,대구 남구 현충로19길 43
대구교통공사,1호선,현충로,2,대명9동주민센터,대구 남구 큰골길53
대구교통공사,1호선,현충로,3,광덕시장,대구 남구 대명동
대구교통공사,1호선,영대병원,1,영남대학교병원,대구 남구 현충로 170
대구교통공사,1호선,영대병원,2,대명5동주민센터,대구 남구 대명로58길 11
대구교통공사,1호선,영대병원,3,대구고등학교,대구 남구 중앙대로171
대구교통공사,1호선,교대,1,대구여자상업고등학교,대구 남구 현충로40길 50
대구교통공사,1호선,교대,2,남구종합사회복지관,대구 남구 중앙대로38길 17
대구교통공사,1호선,교대,3,남구보건소,대구 남구 영선길34
대구교통공사,1호선,교대,4,대명2동주민센터,대구 남구 명덕로32길 30
대구교통공사,1호선,명덕(2.28민주운동기념회관),1,남산동우체국,대구 중구 중앙대로265
대구교통공사,1호선,명덕(2.28민주운동기념회관),2,대구향교,대구 중구 명륜로112
대구교통공사,1호선,명덕(2.28민주운동기념회관),3,경북여자고등학교,대구 중구 중앙대로288
대구교통공사,1호선,명덕(2.28민주운동기념회관),4,남산1동주민센터,대구 중구 2.28길 18-15
대구교통공사,1호선,반월당,1,동부교육청,대구 중구 관덕정길 35
대구교통공사,1호선,반월당,2,대구제일중학교,대구 중구 명륜로23길 16
대구교통공사,1호선,반월당,23,반월메티컬 타워,대구 중구 남산동
대구교통공사,1호선,반월당,3,하나은행대구중앙지점,대구 중구 달구벌대로2108
대구교통공사,1호선,중앙로,1,대구약령시,대구 중구 달구벌대로415길 49
대구교통공사,1호선,중앙로,2,국채보상운동기념공원,대구 중구 국채보상로670
대구교통공사,1호선,중앙로,3,대구광역시청,대구 중구 공평로88
대구교통공사,1호선,중앙로,4,중부경찰서,대구 중구 경상감영길55
대구교통공사,1호선,대구역,1,북부소방서,대구 북구 칠성남로 112
대구교통공사,1호선,대구역,2,번개시장,대구 중구 태평로177-2
대구교통공사,1호선,대구역,3,칠성꽃도매시장,대구 북구 칠성동2가
대구교통공사,1호선,대구역,4,칠성동주민센터,대구 북구 칠성로19길 4
대구교통공사,1호선,칠성시장,1,칠성동주민센터,대구 북구 칠성로19길 4
대구교통공사,1호선,칠성시장,2,칠성종합시장,대구 북구 칠성동1가 276
대구교통공사,1호선,칠성시장,3,동인네거리,대구 중구 동인동1가
대구교통공사,1호선,칠성시장,4,칠성교,대구 북구 대현동
대구교통공사,1호선,신천(경북대입구),3,신천1·2동주민센터,대구 동구 국채보상로159길 41
대구교통공사,1호선,신천(경북대입구),4,동보한방병원,대구 동구 송라로79-1
대구교통공사,1호선,신천(경북대입구),5,신천3동치안센터,대구 동구 신천동
대구교통공사,1호선,신천(경북대입구),6,신천3동주민센터,대구 동구 장등로90
대구교통공사,1호선,신천(경북대입구),7,새마을금고동대구지점,대구 동구 동부로71
대구교통공사,1호선,신천(경북대입구),8,건영캐스빌,대구 동구 신암동
대구교통공사,1호선,신천(경북대입구),1,동신초등학교,대구 동구 송라로123
대구교통공사,1호선,신천(경북대입구),2,송라시장,대구 동구 동부로5길 10
대구교통공사,1호선,동대구역,1,파티마병원,대구 동구 아양로99
대구교통공사,1호선,동대구역,2,대구동부소방서,대구 동구 동대구로507
대구교통공사,1호선,동대구역,3,신천4동주민센터,대구 동구 동부로30길 61-7
대구교통공사,1호선,동대구역,4,신천4동우체국,대구 동구 동부로30길 12-1
대구교통공사,1호선,동구청(큰고개),1,동대구역(철도),대구 동구 동대구로 550
대구교통공사,1호선,동구청(큰고개),2,산림조합중앙회경상북도지회,대구 동구 신암동
대구교통공사,1호선,동구청(큰고개),3,동구청,대구 동구 아양로 207
대구교통공사,1호선,동구청(큰고개),4,신암동우체국,대구 동구 아양로 106
대구교통공사,1호선,아양교,1,동구청,대구 동구 아양로 207
대구교통공사,1호선,아양교,2,효목1동치안센터,대구 동구 효목동
대구교통공사,1호선,아양교,3,망우공원,대구 동구 효목1동 산234-35
대구교통공사,1호선,아양교,4,아양교,대구 동구 검사동
대구교통공사,1호선,동촌,1,동촌동주민센터,대구 동구 동촌로11길 5
대구교통공사,1호선,동촌,2,동부소방서 동촌119안전센터,대구 동구 해동로180
대구교통공사,1호선,동촌,3,동촌유원지,대구 동구 효목동 234-15
대구교통공사,1호선,동촌,4,동촌우체국,대구 동구 해동로207
대구교통공사,1호선,해안,1,홈플러스 동촌점,대구 동구 동촌로127
대구교통공사,1호선,해안,2,동촌초등학교,대구 동구 방촌로 168
대구교통공사,1호선,해안,3,대구광역시농업기술센터,대구 동구 방촌로42길 69
대구교통공사,1호선,해안,4,해안동주민센터,대구 동구 방촌로29길 46
대구교통공사,1호선,방촌,1,해안초등학교,대구 동구 옻골로 50
대구교통공사,1호선,방촌,2,방촌동주민센터,대구 동구 동촌로48길 26
대구교통공사,1호선,방촌,3,용호초등학교,대구 동구 동촌로56길 82
대구교통공사,1호선,방촌,4,방촌치안센터,대구 동구 동촌로293
대구교통공사,1호선,용계,1,신평동새마을금고,대구 동구 동촌로337
대구교통공사,1호선,용계,2,화랑교,대구 동구 방촌동
대구교통공사,1호선,용계,3,용계치안센터,대구 동구 동촌로390
대구교통공사,1호선,용계,4,안심2동주민센터,대구 동구 반야월로1길 28
대구교통공사,1호선,율하,1,안심2동주민센터,대구 동구 반야월로1길 28
대구교통공사,1호선,율하,3,2011대구세계육상대회선수촌아파트,대구 동구 율하서로85
대구교통공사,1호선,율하,4,율하동우체국,대구 동구 안심로16길 49
대구교통공사,1호선,율하,5,안심1동주민센터,대구 동구 율하동로121
대구교통공사,1호선,신기,1,안심시민체육공원,대구 동구 용계동
대구교통공사,1호선,신기,2,안심사회복지관,대구 동구 율하동로76
대구교통공사,1호선,신기,3,신기동,대구 동구 신기동
대구교통공사,1호선,신기,4,목련시장,대구 동구 반야월로30길 61-1
대구교통공사,1호선,반야월,1,동구의료복지센터,대구 동구 안심로49길 98
대구교통공사,1호선,반야월,2,안심교,대구 동구 동호동
대구교통공사,1호선,반야월,3,대구가톨릭대학교 부설유치원,대구 동구 안심로300
대구교통공사,1호선,반야월,4,대구안심우체국,대구 동구 경안로 780
대구교통공사,1호선,각산,1,반야월 자동차 정비사업소,대구 동구 동호동
대구교통공사,1호선,각산,2,동호동우체국,대구 동구 동호로63
대구교통공사,1호선,각산,3,강동초중고등학교,대구 동구 동호로7길 17
대구교통공사,1호선,각산,4,이마트반야월점,대구 동구 안심로389-2
대구교통공사,1호선,안심(혁신도시·첨복단지),1,대구혁신도시,대구 동구 신서동
대구교통공사,1호선,안심(혁신도시·첨복단지),2,신서동,대구 동구 신서동
대구교통공사,1호선,안심(혁신도시·첨복단지),3,송정초등학교,대구 동구 안심로90길 9
대구교통공사,1호선,안심(혁신도시·첨복단지),4,안심차량기지사업소,대구 동구 대림동
대구교통공사,2호선,문양,1,다사읍 부곡리,대구 달성군 다사읍 부곡리
대구교통공사,2호선,문양,1,다사읍 문양리,대구 달성군 다사읍 문양리
대구교통공사,2호선,다사,1,다사초등학교,대구 달성군 다사읍 다사로86
대구교통공사,2호선,다사,2,다사보건지소,대구 달성군 다사읍 매곡로7
대구교통공사,2호선,다사,4,다사고등학교,대구 달성군 다사읍 달구벌대로839
대구교통공사,2호선,다사,3,다사읍사무소,대구 달성군 다사읍 매곡로7
대구교통공사,2호선,대실,1,대구은행다사지점,대구 달성군 다사읍 달구벌대로879
대구교통공사,2호선,대실,2,죽곡초등학교,대구 달성군 다사읍 죽곡1길 18
대구교통공사,2호선,대실,4,한솔병원,대구 달성군 다사읍 달구벌대로895
대구교통공사,2호선,대실,3,강창교,대구 달성군 다사읍 죽곡리
대구교통공사,2호선,강창,3,강창우체국,대구 달서구 호산로124
대구교통공사,2호선,강창,4,파호초등학교,대구 달서구 달서대로109안길 76
대구교통공사,2호선,강창,2,삼성명가타운,대구 달서구 파호동
대구교통공사,2호선,강창,1,호산동,대구 달서구 호산동
대구교통공사,2호선,강창,5,호산초등학교,대구 달서구 달서대로109안길 116
대구교통공사,2호선,강창,6,계명대학교,대구 달서구 달구벌대로1095
대구교통공사,2호선,계명대,6,성서종합시장,대구 달서구 신당동
대구교통공사,2호선,계명대,5,성서종합사회복지관,대구 달서구 신당로56
대구교통공사,2호선,계명대,4,성서병원,대구 달서구 달구벌대로1152
대구교통공사,2호선,계명대,3,모다아울렛,대구 달서구 달서대로411
대구교통공사,2호선,계명대,2,성서3차(첨단)산업단지,대구 달서구 호산동
대구교통공사,2호선,계명대,1,계명대학교 정문,대구 달서구 호산동
대구교통공사,2호선,계명대,7,계명대학교 동문,대구 달서구 신당동
대구교통공사,2호선,성서산업단지,5,성서농협,대구 달서구 달구벌대로1288
대구교통공사,2호선,성서산업단지,6,이곡1동주민센터,대구 달서구 달구벌대로1309
대구교통공사,2호선,성서산업단지,7,성서우체국,대구 달서구 성서로406
대구교통공사,2호선,성서산업단지,1,성서청남타운,대구 달서구 이곡동
대구교통공사,2호선,성서산업단지,2,대구은행 성서지점,대구 달서구 달구벌대로1276
대구교통공사,2호선,성서산업단지,4,성서산업단지,대구 달서구 갈산동
대구교통공사,2호선,성서산업단지,3,성서119안전센터,대구 달서구 성서로357
대구교통공사,2호선,성서산업단지,8,대구지방식품의약품안전청,대구 달서구 성서로405
대구교통공사,2호선,이곡,3,달구서첨단문화회관,대구 달서구 장기동
대구교통공사,2호선,이곡,2,갈산동,대구 달서구 갈산동
대구교통공사,2호선,이곡,1,성서파출소,대구 달서구 이곡동
대구교통공사,2호선,이곡,6,대구지방조달청,대구 달서구 이곡공원로54
대구교통공사,2호선,이곡,4,성지초등학교,대구 달서구 새동네로27
대구교통공사,2호선,이곡,5,성서평화타운,대구 달서구 용산동
대구교통공사,2호선,용산(서부법원·검찰청입구),6,대구학생문화센터,대구 달서구 용산동181
대구교통공사,2호선,용산(서부법원·검찰청입구),3,장기초등학교,대구 달서구 장기동 280
대구교통공사,2호선,용산(서부법원·검찰청입구),2,영남네오빌파크,대구 달서구 장기동
대구교통공사,2호선,용산(서부법원·검찰청입구),5,재향군인회관,대구 달서구 용산동
대구교통공사,2호선,용산(서부법원·검찰청입구),4,대구전자공업고등학교,대구 달서구 용산로 113
대구교통공사,2호선,용산(서부법원·검찰청입구),1,청각/언어장애인복지관,대구 달서구 달구벌대로291길 100
대구교통공사,2호선,죽전,3,감삼우체국,대구 달서구 달구벌대로1578-11
대구교통공사,2호선,죽전,4,성서농협 죽전동지점,대구 달서구 달구벌대로1573
대구교통공사,2호선,죽전,2,알리앙스예식장,대구 달서구 와룡로 190
대구교통공사,2호선,죽전,1,서대구산업단지,대구 서구 중리동
대구교통공사,2호선,감삼,4,서부공업고등학교,대구 서구 당산로228
대구교통공사,2호선,감삼,3,두류3동우체국,대구 달서구 달구벌대로344길 34
대구교통공사,2호선,감삼,1,서남시장,대구 달서구 달구벌대로329길 17
대구교통공사,2호선,감삼,2,감삼동주민센터,대구 달서구 감삼북길119-10
대구교통공사,2호선,두류,2,내당3동주민센터,대구 서구 큰장로15길 11-1
대구교통공사,2호선,두류,12,국민건강보험공단대구지역본부,대구 달서구 두류공원로264
대구교통공사,2호선,두류,11,신흥초등학교,대구 달서구 두류공원로257
대구교통공사,2호선,두류,10,두류지구대,대구 달서구 두류동
대구교통공사,2호선,두류,8,두류3동주민센터,대구 달서구 야외음악당로39길 24
대구교통공사,2호선,두류,1,서부고용안정센터,대구 서구 서대구로9
대구교통공사,2호선,내당,3,웨딩비엔나,대구 달서구 달구벌대로1846
대구교통공사,2호선,내당,2,내당보성아파트,대구 달서구 두류동
대구교통공사,2호선,내당,1,내당1동치안센터,대구 서구 통학로 33
대구교통공사,2호선,내당,4,내서초등학교,대구 서구 달구벌대로371길 35
대구교통공사,2호선,반고개,1,서대구농협,대구 서구 서대구로 92
대구교통공사,2호선,반고개,2,두류1동주민센터,대구 달서구 성당로51길 32
